Time,Raw.Pin 17,Raw.Pin 18,Raw.Pin 19,Raw.Pin 20,Raw.Pin 21,Raw.Pin 22,Raw.Pin 23,Raw.Pin 24,Raw.Pin 25,Raw.Pin 26,Raw.Pin 27,Raw.Pin 28,Raw.Pin 29,Raw.Pin 30,Raw.Pin 31,Raw.Pin 32,Voltage.1,Voltage.2,Voltage.3,Voltage.4,Voltage.5,Voltage.6,Voltage.7,Voltage.8,Voltage.9,Voltage.10,Voltage.11,Voltage.12,Voltage.13,Voltage.14,Voltage.15,Voltage.16
s,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
0.014,0.00244141,-0.000610352,0.000305176,0,0.00335693,0.000610352,0.00305176,0.000610352,0.00457764,0.000305176,0.00274658,0.000610352,-0.000610352,0.00366211,0.00183105,0.00213623,0.0182369,0.0150889,0.0132442,0.0098261,0.00899307,0.0165295,0.00978333,0.0148574,0.0162838,0.0170539,0.0159245,0.0132214,0.01575,0.0143728,0.0114003,0.012722
0.015,0.00244141,0.00183105,-0.0012207,-0.000915527,0.00274658,0.00396729,0.00213623,0.00335693,0.00274658,-0.000610352,0.0012207,0.00152588,0.00274658,0.00152588,0.00183105,0.00213623,0.0156429,0.0149364,0.012939,0.0128779,0.0115871,0.0162244,0.0106989,0.0139418,0.0176571,0.0204109,0.0145512,0.0132214,0.0152922,0.0162038,0.0153676,0.0130272
0.016,0.00213623,0,0.000610352,0.00244141,0.00396729,0.00366211,0.0012207,0.00152588,0.00305176,0.000305176,0.000610352,-0.000305176,-0.000915527,0.00244141,0.00305176,0.00366211,0.0147274,0.0150889,0.0147701,0.0127253,0.0108241,0.0171399,0.0105463,0.0131789,0.0170468,0.0172065,0.0163822,0.0130688,0.0152922,0.0145253,0.0114003,0.0122642
0.017,0.00366211,0,0.00183105,0.00152588,0,0,0.00366211,0.00305176,0.000915527,-0.00152588,0.000305176,0,0,0.00213623,0.000915527,0.00152588,0.0147274,0.0147838,0.012939,0.013183,0.0103664,0.015614,0.011767,0.0133315,0.0184201,0.0207161,0.0159245,0.0129163,0.0140715,0.0114736,0.0114003,0.0131798
0.018,0.00366211,0.000305176,-0.000305176,-0.000915527,0.00305176,0.00244141,0.00152588,-0.000915527,0.00274658,0.00152588,0.00396729,-0.00183105,0.00244141,0.0012207,0.00427246,0.00152588,0.0151851,0.0138682,0.0133968,0.0130304,0.0099086,0.0171399,0.0102411,0.0140944,0.0175045,0.0172065,0.0160771,0.0118481,0.0166655,0.0146779,0.0124684,0.00890731
0.019,0.00183105,0.000305176,0.000610352,-0.000305176,0.000915527,0.00183105,0.00152588,0.000610352,0.00152588,-0.0012207,0.0012207,0.000610352,0.00457764,0.00335693,0.00335693,0,0.0147274,0.0150889,0.0141597,0.0124201,0.0131129,0.0171399,0.011004,0.0121108,0.0133847,0.0178169,0.0143986,0.0165784,0.0163603,0.0152883,0.0106374,0.0121117
0.02,0.00244141,0.000610352,0.000610352,0.000915527,0.00213623,0.00488281,-0.000610352,0.00152588,0.000610352,0.00305176,0.000305176,0.000610352,0.00213623,0.000610352,0.000610352,0,0.0153377,0.0150889,0.0138546,0.0144037,0.0118922,0.0162244,0.0100885,0.0136367,0.0168942,0.0167488,0.0153141,0.0132214,0.0155974,0.0155935,0.0117055,0.0137901
0.021,0.00305176,-0.000305176,0.000915527,0.000305176,0.0012207,0.00183105,0.000305176,0.00335693,0.00152588,0.000915527,0,0,0.00427246,0.00427246,0.00213623,0.000610352,0.0157955,0.0153941,0.0108028,0.0102839,0.0108241,0.0163769,0.0125299,0.0133315,0.0187252,0.0178169,0.0157719,0.0135266,0.0177336,0.0142202,0.0120106,0.0124168
0.022,0.00396729,-0.000610352,0.000915527,0.000610352,0.00457764,0,0.00366211,0.00274658,0.000915527,-0.000305176,0.0012207,0.0012207,0,0.000610352,-0.000305176,0.00305176,0.0153377,0.0144786,0.012939,0.0130304,0.0117397,0.0160718,0.0102411,0.0131789,0.0171994,0.0170539,0.0154667,0.0135266,0.0178862,0.0162038,0.0133839,0.0125694
0.023,0.00152588,0.0012207,0.0012207,0.00152588,0.00244141,0.000610352,0.000610352,0.000610352,0.00213623,0.0012207,0.000610352,-0.0012207,0.00274658,0.00244141,0.00335693,-0.00152588,0.0150325,0.0170726,0.0140071,0.0136408,0.0111293,0.0163769,0.0108514,0.0128737,0.0168942,0.0176643,0.0160771,0.0142895,0.0171233,0.0146779,0.0118581,0.0110435
